emp_id,name,country,state,designation,year,annual_salary,annual_tax
EMP019,Kai,India,Karnataka,Analyst,2025,1045910,293992
EMP019,Kai,India,Karnataka,Analyst,2026,1093839,307464
EMP020,Tim,India,Karnataka,Director,2025,899623,182601
EMP020,Tim,India,Karnataka,Director,2026,935486,189881
EMP021,Bob,Canada,Quebec,Specialist,2025,79438,23783
EMP021,Bob,Canada,Quebec,Specialist,2026,83182,24904
EMP022,Tom,Canada,Quebec,Director,2025,92447,17922
EMP022,Tom,Canada,Quebec,Director,2026,98909,19174
EMP023,Jim,Canada,Quebec,Director,2025,56915,17140
EMP023,Jim,Canada,Quebec,Director,2026,60582,18244
EMP024,Joe,Canada,Ontario,Manager,2025,134192,31458
EMP024,Joe,Canada,Ontario,Manager,2026,138558,32482
EMP025,Ted,Canada,British Columbia,Specialist,2025,106348,27206
EMP025,Ted,Canada,British Columbia,Specialist,2026,113669,29079
EMP026,Ann,Canada,Ontario,Engineer,2025,134353,43927
EMP026,Ann,Canada,Ontario,Engineer,2026,142418,46564
EMP027,Sue,Canada,Quebec,Analyst,2025,59621,12442
EMP027,Sue,Canada,Quebec,Analyst,2026,61786,12894
EMP028,Kim,Canada,Ontario,Analyst,2025,110612,33448
EMP028,Kim,Canada,Ontario,Analyst,2026,116176,35130
EMP029,Jan,Canada,Ontario,Analyst,2025,128748,32384
EMP029,Jan,Canada,Ontario,Analyst,2026,133634,33613
EMP030,Ron,Canada,British Columbia,Manager,2025,115697,39417
EMP030,Ron,Canada,British Columbia,Manager,2026,123436,42054
EMP031,Ken,USA,California,Specialist,2025,87487,21672
EMP031,Ken,USA,California,Specialist,2026,90503,22419
EMP032,Don,USA,Texas,Analyst,2025,76385,12342
EMP032,Don,USA,Texas,Analyst,2026,81359,13146
EMP033,Ray,USA,California,Engineer,2025,108699,34045
EMP033,Ray,USA,California,Engineer,2026,116212,36398
EMP034,Guy,USA,New York,Manager,2025,61828,17432
EMP034,Guy,USA,New York,Manager,2026,66024,18615
EMP035,Rex,USA,California,Analyst,2025,114163,37044
EMP035,Rex,USA,California,Analyst,2026,119520,38782
EMP036,Uma,USA,California,Specialist,2025,135422,25761
EMP036,Uma,USA,California,Specialist,2026,141173,26855
EMP037,Ivy,USA,New York,Analyst,2025,102422,33791
EMP037,Ivy,USA,New York,Analyst,2026,107344,35415
EMP038,Ada,USA,California,Manager,2025,53392,11619
EMP038,Ada,USA,California,Manager,2026,56250,12240
EMP039,Lee,USA,California,Specialist,2025,73864,11185
EMP039,Lee,USA,California,Specialist,2026,78171,11838
EMP040,Mac,USA,California,Manager,2025,53834,17823
EMP040,Mac,USA,California,Manager,2026,57300,18971
EMP041,Gus,UK,England,Specialist,2025,76195,15672
EMP041,Gus,UK,England,Specialist,2026,79960,16447
EMP042,Lou,UK,Wales,Manager,2025,139811,47130
EMP042,Lou,UK,Wales,Manager,2026,147198,49620
EMP043,Art,UK,Scotland,Manager,2025,106993,33328
EMP043,Art,UK,Scotland,Manager,2026,111017,34581
EMP044,Hal,UK,England,Director,2025,91438,21461
EMP044,Hal,UK,England,Director,2026,95889,22506
EMP045,Val,UK,Wales,Engineer,2025,133259,37404
EMP045,Val,UK,Wales,Engineer,2026,140701,39493
EMP046,Cal,UK,England,Director,2025,89473,27747
EMP046,Cal,UK,England,Director,2026,92548,28700
EMP047,Sal,UK,England,Manager,2025,115292,27638
EMP047,Sal,UK,England,Manager,2026,120696,28933
EMP048,Abe,UK,Scotland,Director,2025,77742,25258
EMP048,Abe,UK,Scotland,Director,2026,80308,26091
EMP049,Sam,UK,Wales,Engineer,2025,51630,14478
EMP049,Sam,UK,Wales,Engineer,2026,54295,15225
EMP050,Leo,UK,England,Engineer,2025,75982,13924
EMP050,Leo,UK,England,Engineer,2026,79737,14612
EMP051,Mia,Germany,Bavaria,Director,2025,52685,9637
EMP051,Mia,Germany,Bavaria,Director,2026,54270,9927
EMP052,Max,Germany,Berlin,Analyst,2025,104638,21665
EMP052,Max,Germany,Berlin,Analyst,2026,110692,22918
EMP053,Ava,Germany,Hamburg,Specialist,2025,131752,38693
EMP053,Ava,Germany,Hamburg,Specialist,2026,136520,40093
EMP054,Ben,Germany,Berlin,Manager,2025,52665,14000
EMP054,Ben,Germany,Berlin,Manager,2026,55387,14723
EMP055,Zoe,Germany,Hamburg,Analyst,2025,52492,8400
EMP055,Zoe,Germany,Hamburg,Analyst,2026,55067,8812
EMP056,Ian,Germany,Hamburg,Manager,2025,52455,17947
EMP056,Ian,Germany,Hamburg,Manager,2026,54196,18543
EMP057,Eva,Germany,Bavaria,Engineer,2025,122992,20120
EMP057,Eva,Germany,Bavaria,Engineer,2026,130921,21417
EMP058,Jon,Germany,Berlin,Engineer,2025,119668,23843
EMP058,Jon,Germany,Berlin,Engineer,2026,126103,25125
EMP059,Ali,Germany,Hamburg,Engineer,2025,99948,28132
EMP059,Ali,Germany,Hamburg,Engineer,2026,105206,29612
EMP060,Jay,Germany,Berlin,Analyst,2025,71772,20379
EMP060,Jay,Germany,Berlin,Analyst,2026,74827,21246
EMP061,Joy,France,Provence,Director,2025,62154,17672
EMP061,Joy,France,Provence,Director,2026,64764,18414
EMP062,Roy,France,Provence,Engineer,2025,46220,11169
EMP062,Roy,France,Provence,Engineer,2026,49452,11950
EMP063,Amy,France,Île-de-France,Engineer,2025,115468,22242
EMP063,Amy,France,Île-de-France,Engineer,2026,120156,23145
EMP064,Dan,France,Provence,Engineer,2025,77018,17244
EMP064,Dan,France,Provence,Engineer,2026,79814,17870
EMP065,Fay,France,Auvergne-Rhône-Alpes,Analyst,2025,125173,43406
EMP065,Fay,France,Auvergne-Rhône-Alpes,Analyst,2026,132969,46109
EMP066,Ned,France,Auvergne-Rhône-Alpes,Engineer,2025,132538,41540
EMP066,Ned,France,Auvergne-Rhône-Alpes,Engineer,2026,138101,43283
EMP067,Kai,France,Auvergne-Rhône-Alpes,Engineer,2025,62601,12701
EMP067,Kai,France,Auvergne-Rhône-Alpes,Engineer,2026,66706,13534
EMP068,Tim,France,Auvergne-Rhône-Alpes,Specialist,2025,65374,13366
EMP068,Tim,France,Auvergne-Rhône-Alpes,Specialist,2026,68916,14091
EMP069,Bob,France,Auvergne-Rhône-Alpes,Analyst,2025,71685,20609
EMP069,Bob,France,Auvergne-Rhône-Alpes,Analyst,2026,76281,21930
EMP070,Tom,France,Auvergne-Rhône-Alpes,Director,2025,77914,25794
EMP070,Tom,France,Auvergne-Rhône-Alpes,Director,2026,82888,27441
EMP071,Jim,Japan,Tokyo,Director,2025,6820961,1083286
EMP071,Jim,Japan,Tokyo,Director,2026,7116596,1130238
EMP072,Joe,Japan,Tokyo,Analyst,2025,5855447,1746364
EMP072,Joe,Japan,Tokyo,Analyst,2026,6160323,1837292
EMP073,Ted,Japan,Osaka,Specialist,2025,4581115,789668
EMP073,Ted,Japan,Osaka,Specialist,2026,4891723,843209
EMP074,Ann,Japan,Kyoto,Manager,2025,9076743,1426915
EMP074,Ann,Japan,Kyoto,Manager,2026,9483096,1490796
EMP075,Sue,Japan,Kyoto,Manager,2025,8105312,1422393
EMP075,Sue,Japan,Kyoto,Manager,2026,8448412,1482604
EMP076,Kim,Japan,Tokyo,Analyst,2025,6262249,1793591
EMP076,Kim,Japan,Tokyo,Analyst,2026,6617176,1895247
EMP077,Jan,Japan,Osaka,Specialist,2025,7908940,2726744
EMP077,Jan,Japan,Osaka,Specialist,2026,8383311,2890292
EMP078,Ron,Japan,Tokyo,Manager,2025,5985222,1952877
EMP078,Ron,Japan,Tokyo,Manager,2026,6170712,2013399
EMP079,Ken,Japan,Kyoto,Analyst,2025,7953700,2469202
EMP079,Ken,Japan,Kyoto,Analyst,2026,8467211,2628620
EMP080,Don,Japan,Tokyo,Analyst,2025,5835448,1794253
EMP080,Don,Japan,Tokyo,Analyst,2026,6035742,1855839
EMP081,Ray,Brazil,São Paulo,Director,2025,74154,14082
EMP081,Ray,Brazil,São Paulo,Director,2026,79102,15022
EMP082,Guy,Brazil,Rio de Janeiro,Analyst,2025,74831,14560
EMP082,Guy,Brazil,Rio de Janeiro,Analyst,2026,79051,15382
EMP083,Rex,Brazil,Rio de Janeiro,Analyst,2025,81517,26319
EMP083,Rex,Brazil,Rio de Janeiro,Analyst,2026,87115,28126
EMP084,Uma,Brazil,Rio de Janeiro,Analyst,2025,129080,32512
EMP084,Uma,Brazil,Rio de Janeiro,Analyst,2026,136460,34371
EMP085,Ivy,Brazil,Minas Gerais,Analyst,2025,48617,8414
EMP085,Ivy,Brazil,Minas Gerais,Analyst,2026,51962,8992
EMP086,Ada,Brazil,São Paulo,Specialist,2025,79795,12579
EMP086,Ada,Brazil,São Paulo,Specialist,2026,84092,13257
EMP087,Lee,Brazil,Rio de Janeiro,Analyst,2025,102199,27720
EMP087,Lee,Brazil,Rio de Janeiro,Analyst,2026,107355,29119
EMP088,Mac,Brazil,Rio de Janeiro,Specialist,2025,69914,14048
EMP088,Mac,Brazil,Rio de Janeiro,Specialist,2026,73993,14868
EMP089,Gus,Brazil,São Paulo,Specialist,2025,115575,33212
EMP089,Gus,Brazil,São Paulo,Specialist,2026,123389,35458
EMP090,Lou,Brazil,Minas Gerais,Manager,2025,92739,21910
EMP090,Lou,Brazil,Minas Gerais,Manager,2026,99041,23399
EMP091,Art,South Africa,Western Cape,Specialist,2025,86145,24351
EMP091,Art,South Africa,Western Cape,Specialist,2026,89158,25202
EMP092,Hal,South Africa,Western Cape,Specialist,2025,85538,24239
EMP092,Hal,South Africa,Western Cape,Specialist,2026,89220,25283
EMP093,Val,South Africa,KwaZulu-Natal,Analyst,2025,117667,20645
EMP093,Val,South Africa,KwaZulu-Natal,Analyst,2026,123175,21611
EMP094,Cal,South Africa,Western Cape,Manager,2025,125676,33155
EMP094,Cal,South Africa,Western Cape,Manager,2026,131487,34689
EMP095,Sal,South Africa,Gauteng,Analyst,2025,82606,15863
EMP095,Sal,South Africa,Gauteng,Analyst,2026,87680,16837
EMP096,Abe,South Africa,KwaZulu-Natal,Analyst,2025,105946,25252
EMP096,Abe,South Africa,KwaZulu-Natal,Analyst,2026,111987,26692
EMP097,Sam,South Africa,KwaZulu-Natal,Director,2025,67241,18946
EMP097,Sam,South Africa,KwaZulu-Natal,Director,2026,70021,19729
EMP098,Leo,South Africa,KwaZulu-Natal,Specialist,2025,88933,15000
EMP098,Leo,South Africa,KwaZulu-Natal,Specialist,2026,94987,16022
EMP099,Mia,South Africa,Gauteng,Analyst,2025,74444,23175
EMP099,Mia,South Africa,Gauteng,Analyst,2026,77116,24007
EMP100,Max,South Africa,Gauteng,Manager,2025,107277,29206
EMP100,Max,South Africa,Gauteng,Manager,2026,113792,30980
